Date,High,Low,Open,Close,Volume,Adj Close
2020-10-20,285.25,277.0,283.3500061035156,277.5299987792969,141600,277.5299987792969
2020-10-21,280.3500061035156,269.94000244140625,277.7799987792969,272.6000061035156,245300,272.6000061035156
2020-10-22,278.6700134277344,270.6199951171875,273.04998779296875,278.5,292200,278.5
2020-10-23,281.989990234375,276.3699951171875,277.5899963378906,281.4200134277344,202800,281.4200134277344
2020-10-26,288.5799865722656,277.95001220703125,279.2200012207031,288.32000732421875,291400,288.32000732421875
2020-10-27,293.4700012207031,285.3500061035156,287.9100036621094,290.510009765625,354300,290.510009765625
2020-10-28,290.6700134277344,279.8399963378906,286.8699951171875,283.0,448500,283.0
2020-10-29,270.0,254.27999877929688,268.0,254.61000061035156,835800,254.61000061035156
2020-10-30,258.17999267578125,242.72999572753906,253.64999389648438,251.8800048828125,426400,251.8800048828125
2020-11-02,259.75,250.72999572753906,253.4199981689453,254.85000610351562,443800,254.85000610351562
2020-11-03,261.8699951171875,253.58999633789062,259.3999938964844,260.79998779296875,345800,260.79998779296875
2020-11-04,272.0,262.7799987792969,267.07000732421875,266.44000244140625,335600,266.44000244140625
2020-11-05,275.8599853515625,267.8800048828125,271.5199890136719,272.3999938964844,241600,272.3999938964844
2020-11-06,274.67999267578125,264.9800109863281,273.2099914550781,272.2099914550781,205000,272.2099914550781
2020-11-09,292.2300109863281,277.2200012207031,282.1300048828125,279.6099853515625,426400,279.6099853515625
2020-11-10,279.5400085449219,262.30999755859375,277.9100036621094,268.8399963378906,320700,268.8399963378906
2020-11-11,273.1499938964844,268.1199951171875,272.0799865722656,269.2799987792969,201100,269.2799987792969
2020-11-12,274.0,266.9599914550781,269.79998779296875,268.2900085449219,178800,268.2900085449219
2020-11-13,273.67999267578125,270.0,271.1199951171875,272.1000061035156,135600,272.1000061035156
2020-11-16,275.1099853515625,269.2900085449219,273.82000732421875,272.75,237700,272.75
2020-11-17,273.0299987792969,267.80999755859375,269.5299987792969,269.92999267578125,137100,269.92999267578125
2020-11-18,269.55999755859375,263.17999267578125,268.3399963378906,266.2099914550781,164900,266.2099914550781
2020-11-19,272.29998779296875,262.5199890136719,265.6600036621094,270.6099853515625,194700,270.6099853515625
2020-11-20,272.6600036621094,267.79998779296875,270.54998779296875,268.2099914550781,167500,268.2099914550781
2020-11-23,271.67999267578125,265.3500061035156,268.1000061035156,266.42999267578125,240300,266.42999267578125
2020-11-24,267.6600036621094,260.5,266.44000244140625,265.6700134277344,206700,265.6700134277344
2020-11-25,266.0199890136719,261.5799865722656,265.67999267578125,263.82000732421875,171700,263.82000732421875
2020-11-27,272.0,261.0,264.0,271.8999938964844,150300,271.8999938964844
2020-11-30,274.9100036621094,269.010009765625,273.7200012207031,274.1000061035156,395400,274.1000061035156
2020-12-01,274.9800109863281,264.0,272.1099853515625,268.2099914550781,241700,268.2099914550781
2020-12-02,268.2200012207031,263.760009765625,268.2200012207031,265.25,169000,265.25
2020-12-03,267.7799987792969,262.7900085449219,263.7900085449219,266.8399963378906,136800,266.8399963378906
2020-12-04,277.3299865722656,265.70001220703125,265.7699890136719,272.6099853515625,232500,272.6099853515625
2020-12-07,273.3999938964844,268.5299987792969,271.7099914550781,271.8800048828125,196900,271.8800048828125
2020-12-08,275.4700012207031,270.0799865722656,272.0,273.6400146484375,198800,273.6400146484375
2020-12-09,272.5400085449219,261.2300109863281,272.5400085449219,266.1499938964844,272300,266.1499938964844
2020-12-10,268.8500061035156,261.8699951171875,265.67999267578125,267.92999267578125,221200,267.92999267578125
2020-12-11,267.30999755859375,254.41000366210938,266.20001220703125,258.45001220703125,383100,258.45001220703125
2020-12-14,270.20001220703125,259.5400085449219,260.07000732421875,267.6199951171875,303700,267.6199951171875
2020-12-15,277.45001220703125,262.9100036621094,266.55999755859375,275.3599853515625,259000,275.3599853515625
2020-12-16,282.0,273.5,274.1499938964844,274.1400146484375,303000,274.1400146484375
2020-12-17,282.30999755859375,272.42999267578125,275.8599853515625,281.989990234375,268500,281.989990234375
2020-12-18,294.4800109863281,276.94000244140625,283.1199951171875,293.3900146484375,896300,293.3900146484375
2020-12-21,296.6000061035156,283.7300109863281,292.760009765625,295.80999755859375,443200,295.80999755859375
2020-12-22,304.3599853515625,292.5299987792969,295.8399963378906,302.3299865722656,275000,302.3299865722656
2020-12-23,309.1300048828125,300.80999755859375,304.3399963378906,304.04998779296875,187600,304.04998779296875
2020-12-24,306.0799865722656,300.5799865722656,304.45001220703125,303.4100036621094,65700,303.4100036621094
2020-12-28,312.9800109863281,306.1600036621094,307.3399963378906,312.9100036621094,274800,312.9100036621094
2020-12-29,327.9100036621094,314.0,314.25,320.92999267578125,390800,320.92999267578125
2020-12-30,328.8299865722656,318.2300109863281,324.5899963378906,323.9200134277344,278800,323.9200134277344
2020-12-31,325.2699890136719,318.57000732421875,324.3800048828125,324.20001220703125,229000,324.20001220703125
2021-01-04,329.32000732421875,308.95001220703125,324.57000732421875,316.7300109863281,364500,316.7300109863281
